tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres
tt10111484,Vicar Ka Achar Open Your Mind Before Your Mouth,Vicar Ka Achar Open Your Mind Before Your Mouth,2018,90,\N
tt10111576,Hospicio,Hospicio,2018,94,Drama
tt10112464,Frank & Fearless,Frank & Fearless,2018,97,Comedy
tt10115494,"Sogni, Sesso e Cuori Infranti","Sogni, Sesso e Cuori Infranti",2018,55,Documentary
tt10116482,Krymskaya Istoriya X,Krymskaya Istoriya X,2018,135,Drama
tt10116528,Radiance,Radiance,2018,96,Biography
tt10118052,Believe,Believe,2018,16,Documentary
tt10125578,Change in the Family,Change in the Family,2018,62,Documentary
tt10125986,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,Watakushi no dorei ni narinasai dai ni sho go shujin-sama to yobasete kudasai,2018,104,Romance
tt10126230,Wasted Eggs,Wasted Eggs,2018,70,"Drama,Family"
tt10127228,Watakushi no dorei ni narinasai dai san sho o ma e shidai,Watakushi no dorei ni narinasai dai san sho o ma e shidai,2018,104,Romance
tt10127790,Die Abenteuer des Tiberius von Hadern,Die Abenteuer des Tiberius von Hadern,2018,60,Comedy
tt10128378,Maksymiuk. Koncert na dwoje,Maksymiuk. Koncert na dwoje,2018,75,Documentary
tt10128580,White Mama,White Mama,2018,97,Documentary
tt10129140,Sousa Martins,Sousa Martins,2018,81,"Biography,Documentary,History"
tt10129316,O Bailinho,O Bailinho,2018,109,Documentary
tt10129824,I Grew Up As You Slept,I Grew Up As You Slept,2018,49,Documentary
tt10129868,The Anti-Fascist Struggle in the Middle-East,O antifasistikos agonas sti Mesi Anatoli,2018,72,"Documentary,History"
tt10131518,"Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991","Self-Portrait in 23 Rounds: A Chapter in David Wojnarowicz's Life, 1989-1991",2018,78,Documentary
tt10131904,Vse ili nichego,Vse ili nichego,2018,85,Comedy
tt10140138,Krocken,Krocken,2018,82,"Comedy,Drama"
tt10140532,Into_nation of Big Odessa,Into_nation of Big Odessa,2018,104,Documentary
tt10141640,"Flowers Fade Early: Kakopetros, August 28th, 1944","Louloudia pou marathikan noris: Kakopetros, 28 Avgoustou1944",2018,64,"Documentary,History"
tt10141736,Don't Tell Me You Can't Sing,Don't Tell Me You Can't Sing,2018,75,Drama
tt10144202,Fear Man,Fear Man,2018,83,Documentary
tt10147250,Hitokara,Hitokara,2018,87,\N
tt10147656,Mehr als nur 90 Minuten,Mehr als nur 90 Minuten,2018,93,Documentary
tt10148772,Indemnity,Indemnity,2018,45,Thriller
tt10150372,Parque Marti,Parque Marti,2018,30,"Documentary,Sport"
tt10153626,A Minha Avó Trelotótó,A Minha Avó Trelotótó,2018,174,"Biography,Documentary"
tt10153730,Sacavém,Sacavém,2018,65,Drama
tt10156482,Waiting - The Van Duren Story,Waiting - The Van Duren Story,2018,79,Documentary
tt10160700,Russ Taff: I Still Believe,Russ Taff: I Still Believe,2018,104,Documentary
tt10160782,Cirque du Soleil: KURIOS - Cabinet of Curiosities,Cirque du Soleil: KURIOS - Cabinet of Curiosities,2018,105,"Fantasy,Sport"
tt10160946,New York City Pizza Parlors,New York City Pizza Parlors,2018,5,Documentary
tt10161346,El Pueblo Soy Yo: Venezuela en Populismo,El Pueblo Soy Yo: Venezuela en Populismo,2018,87,Documentary
tt10161390,Der Funktionär,Der Funktionär,2018,72,Documentary
tt10163050,Inga Can Hear,Inga Can Hear,2018,60,Documentary
tt10164160,Connected: The Joe Polish Story,Connected: The Joe Polish Story,2018,67,Documentary
tt10164744,Spreeland. Fontane,Spreeland. Fontane,2018,79,Documentary
tt10165168,Parade,Parade,2018,87,"Comedy,Drama"
tt10166150,The Minor League Mecca,The Minor League Mecca,2018,140,Documentary
tt10168852,Sankara n'est pas mort,Sankara n'est pas mort,2018,110,Documentary
tt10169440,Chewdaism: A Taste of Jewish Montreal,Chewdaism: A Taste of Jewish Montreal,2018,62,Documentary
tt10170830,Volles Risiko - Musikalisches Glück,Volles Risiko - Musikalisches Glück,2018,45,Documentary
tt10171506,Opera Assoluta,Opera Assoluta,2018,78,Documentary
tt10171692,The Little Tenants,The Little Tenants,2018,26,Documentary
tt10172486,Displaced,Displaced,2018,54,Documentary
tt10174382,Senses 1&2,Senses 1&2,2018,139,Drama
tt10174464,Senses 3&4,Senses 3&4,2018,85,Drama
tt10174546,Senses 5,Senses 5,2018,75,Drama
tt10176048,The German,The German,2018,70,"Documentary,Thriller"
tt10176328,Exteriores: Mulheres Brasileiras na Diplomacia,Exteriores: Mulheres Brasileiras na Diplomacia,2018,52,Documentary
tt10177960,Dreaming of a Vetter World,Dreaming of a Vetter World,2018,77,Documentary
tt10178206,Sappe,Sappe,2018,148,"Adventure,History,Mystery"
tt10178280,Mangoshake,Mangoshake,2018,104,Comedy
tt10178906,The Frozen Maze,The Frozen Maze,2018,95,"Mystery,Thriller"
tt10178972,Baby Occult: Baby Tumbal Baby Die,Bayi Gaib: Bayi Tumbal Bayi Mati,2018,93,Horror
tt10182822,Loro,Loro,2018,151,"Biography,Drama"
tt10183608,The Unbreakable,The Unbreakable,2018,52,Animation
tt10183814,Life Is a Belief,Life Is a Belief,2018,106,Documentary
tt10188148,Kurokan,Kurokan,2018,94,Horror
tt10188332,Vlog Wars-Very Loosely Based On Some True Events Sort Of,Vlog Wars-Very Loosely Based On Some True Events Sort Of,2018,81,"Comedy,Documentary"
tt10192640,The Riot and the Dance,The Riot and the Dance,2018,83,\N
tt10195432,Seven/7,Seven/7,2018,114,Documentary
tt10196778,The Prison of Silence,The Prison of Silence,2018,80,Drama
tt10197354,Ikinci Pärdä,Ikinci Pärdä,2018,72,\N
tt10198924,Voice of the Epilepsies,Voice of the Epilepsies,2018,53,Documentary
tt10201690,Lupah Sug,Lupah Sug,2018,30,Documentary
tt10203276,El Año del Leon,El Año del Leon,2018,84,Drama
tt10203480,<3,<3,2018,65,Documentary
tt10203806,Me and Mrs. Jones,Me and Mrs. Jones,2018,112,Drama
tt10204300,Shwe Kyar,Shwe Kyar,2018,131,Drama
tt10207850,Killer in Law,Killer in Law,2018,90,Thriller
tt10210298,Frits de Gids (Ladies' Man),Frits de Gids (Ladies' Man),2018,57,Documentary
tt10210652,Je kan toch lezen... (Missing Pages),Je kan toch lezen... (Missing Pages),2018,47,Documentary
tt10212512,Bedaad,Bedaad,2018,116,"Crime,Thriller"
tt10213480,"Moananuiakea: One Ocean, One People, One Canoe","Moananuiakea: One Ocean, One People, One Canoe",2018,148,Documentary
tt10214178,"Khan, The Mentor","Khan, The Mentor",2018,54,Documentary
tt10215456,The Scenery Through the Smog,The Scenery Through the Smog,2018,60,Documentary
tt10217452,Ghostmist Island,Ghostmist Island,2018,86,"Crime,Mystery"
tt10217930,Wiren,Wiren,2018,105,Drama
tt10219196,The Movement,The Movement,2018,92,Documentary
tt10221796,Mother Tongue,Sfat Em,2018,57,Documentary
tt10222704,D'une Rive a l'Autre,D'une Rive a l'Autre,2018,70,Documentary
tt10223328,Mareyeurs,Mareyeurs,2018,70,Documentary
tt10224896,Fever...,Fever...,2018,102,Drama
tt10225308,Surfeando tu Mundo,Surfeando tu Mundo,2018,66,Comedy
tt10227188,Marco Polo Silk Road,Marco Polo Silk Road,2018,62,Documentary
tt10228896,The Wounded Healer,HaMerape HaPatzua,2018,54,Documentary
tt10229632,Interiors,Interiors,2018,4,Documentary
tt10230604,The Cut,The Cut,2018,62,Documentary
tt10230716,Heritage (Nobel),Heritage (Nobel),2018,80,Documentary
tt10233354,Going Home for Tet,Vê Quê An Têt,2018,80,Comedy
tt10233502,Feminin,Feminin,2018,86,"Drama,Romance,War"
tt10233504,Abbas Abbas Send Help!,Abbas Abbas Send Help!,2018,86,"Drama,Romance,War"
tt10235786,Dangerous Dancing,Dangerous Dancing,2018,87,Drama
tt10242304,Cumhachd a' Yoik/The Power of Yoik,Cumhachd a' Yoik/The Power of Yoik,2018,58,Documentary
tt10243656,The Land,The Land,2018,93,Drama
tt10243958,The Essence,The Essence,2018,75,Thriller
tt10243988,The Sleeping Land,The Sleeping Land,2018,64,Documentary
tt10249374,Underdogs,Underdogs,2018,65,"Documentary,Sport"
tt10252064,Can't See Me Love You,Can't See Me Love You,2018,85,"Horror,Thriller"
tt10253614,Från Blockflöjt Till Bebopaluba,Från Blockflöjt Till Bebopaluba,2018,111,"Documentary,Music"
tt10254784,Antall József portréfilm III. rész (Antall József 1365 napja),Antall József portréfilm III. rész (Antall József 1365 napja),2018,60,Documentary
tt10255880,The Unanswered Ives: American Pioneer of Music,The Unanswered Ives: American Pioneer of Music,2018,53,"Biography,Documentary,Music"
tt10255966,Keep Tahoe Blue,Keep Tahoe Blue,2018,11,Documentary
tt10259230,The Winter Folk,The Winter Folk,2018,74,Documentary
tt10260028,Lost in Time,Lost in Time,2018,82,"Mystery,Thriller"
tt10260370,The Guilt I,The Guilt I,2018,70,"Crime,Mystery"
tt10260386,The Guilt II,The Guilt II,2018,63,"Crime,Mystery"
tt10260398,The Guilt III,The Guilt III,2018,61,"Crime,Mystery"
tt10263026,One without the other,One without the other,2018,80,Drama
tt10263270,Kick,Kick,2018,118,"Documentary,Romance,Sport"
tt10264562,The Sings,Znaki,2018,60,"Biography,Documentary"
tt10265730,The Teacher + Margherita,The Teacher + Margherita,2018,85,Comedy
tt10267080,To panigyri ton voskon,To panigyri ton voskon,2018,82,Documentary
tt10274598,A Killer Awaits,A Killer Awaits,2018,85,Thriller
tt10275636,Rose and Bee,Rose and Bee,2018,60,Documentary
tt10279140,Unearthing,Unearthing,2018,149,Biography
tt10280648,The Plastic Cup: The Official Story of the Plastic Pirates,The Plastic Cup: The Official Story of the Plastic Pirates,2018,52,Documentary
tt10285208,Aggrieved,Aggrieved,2018,63,Drama
tt10289196,Mujeres infieles 5,Mujeres infieles 5,2018,90,Drama
tt10289896,The Outsider,The Outsider,2018,115,"Drama,Family"
tt10290706,Mirror of the Virgin Forest,Mirror of the Virgin Forest,2018,14,Documentary
tt10292116,Está Todo Bien,Está Todo Bien,2018,70,Documentary
tt10292620,TimeScapes,TimeScapes,2018,65,Animation
tt10293820,The Tricycle Thief,The Tricycle Thief,2018,48,Comedy
tt10294344,Cute Devil,Kawaii akuma,2018,85,Thriller
